,Scenario,Scenario type,Period,Average uncertainty (beds),"MAE (median, beds)","MAE (low, beds)","MAE (high, beds)","MAE (constant, beds)","MAE (damped_trend, beds)",MAPE (median),MAPE (optimist),MAPE (pessimist),MAPE (constant),MAPE (damped_trend),Increasing
"Scenario: 2020/10/30 ICU, period: 0-14 days",2020/10/30 ICU,ICU,0 days - 14 days,440.9,815.2,571.7,1012.6,1431.6,135.8,17.8,12.6,22.0,31.7,2.8,True
"Scenario: 2020/10/30 ICU, period: 14-28 days",2020/10/30 ICU,ICU,14 days - 28 days,2955.6,1655.1,397.8,3348.4,1382.9,1979.8,38.2,8.7,78.2,31.1,47.0,True
"Scenario: 2020/10/30 ICU, period: 28-42 days",2020/10/30 ICU,ICU,28 days - 42 days,5881.1,1563.9,580.1,5301.1,260.4,4824.7,48.3,18.8,165.9,7.6,151.9,True
"Scenario: 2021/02/08, period: 0-14 days",2021/02/08,New hosp.,0 days - 14 days,754.1,669.8,406.7,1160.9,148.0,62.1,59.2,35.9,102.6,13.1,5.5,True
"Scenario: 2021/02/08, period: 14-28 days",2021/02/08,New hosp.,14 days - 28 days,1060.4,789.1,415.3,1475.7,95.2,322.6,66.5,34.9,124.7,8.0,27.1,True
"Scenario: 2021/02/08, period: 28-42 days",2021/02/08,New hosp.,28 days - 42 days,540.8,1064.5,794.1,1334.9,114.9,669.2,77.2,57.7,96.7,7.9,48.0,True
"Scenario: 2021/02/14, period: 0-14 days",2021/02/14,New hosp.,0 days - 14 days,269.0,421.2,297.2,566.2,29.6,29.2,36.0,25.5,48.3,2.6,2.5,True
"Scenario: 2021/02/14, period: 14-28 days",2021/02/14,New hosp.,14 days - 28 days,1417.1,960.7,339.0,1756.1,54.1,134.1,76.3,27.1,139.2,4.2,10.6,True
"Scenario: 2021/02/23, period: 0-14 days",2021/02/23,New hosp.,0 days - 14 days,239.3,346.8,402.7,166.3,65.5,16.7,29.1,33.7,14.0,5.5,1.4,True
"Scenario: 2021/04/26, period: 0-14 days",2021/04/26,New hosp.,0 days - 14 days,235.4,339.8,219.9,455.4,469.2,90.9,35.3,23.0,47.0,49.9,9.8,False
"Scenario: 2021/04/26, period: 14-28 days",2021/04/26,New hosp.,14 days - 28 days,347.6,479.5,307.3,654.9,943.9,113.1,87.7,56.0,120.5,174.7,19.6,False
"Scenario: 2021/04/26, period: 28-42 days",2021/04/26,New hosp.,28 days - 42 days,653.4,521.7,250.5,903.9,1172.1,83.5,162.2,76.6,284.9,365.3,28.8,False
"Scenario: 2021/05/21, period: 0-14 days",2021/05/21,New hosp.,0 days - 14 days,80.9,86.2,132.1,63.7,187.3,23.6,22.5,36.4,16.1,53.6,6.9,False
"Scenario: 2021/05/21 ICU, period: 0-14 days",2021/05/21 ICU,ICU,0 days - 14 days,150.9,483.3,541.8,390.9,948.7,79.8,18.1,20.4,14.7,36.2,3.2,False
"Scenario: 2021/07/26 ICU, period: 0-14 days",2021/07/26 ICU,ICU,0 days - 14 days,202.1,316.5,423.8,235.3,434.5,326.3,28.0,36.4,21.2,33.4,24.5,True
"Scenario: 2021/07/26 ICU, period: 14-28 days",2021/07/26 ICU,ICU,14 days - 28 days,1336.1,789.6,228.9,1494.2,1003.5,832.1,42.4,12.5,80.6,55.9,46.3,True
"Scenario: 2021/07/26 ICU, period: 28-42 days",2021/07/26 ICU,ICU,28 days - 42 days,5216.9,2898.8,632.4,5849.4,1179.4,949.0,147.6,32.2,297.8,60.0,48.2,True
"Scenario: 2021/07/26 ICU, period: 42-56 days",2021/07/26 ICU,ICU,42 days - 56 days,9186.4,4170.7,647.0,9833.4,919.3,633.9,246.5,38.2,583.1,53.6,36.6,True
"Scenario: 2021/07/26, period: 0-14 days",2021/07/26,New hosp.,0 days - 14 days,42.9,149.4,133.1,175.9,266.1,66.0,26.4,23.5,30.8,50.9,12.7,True
"Scenario: 2021/07/26, period: 14-28 days",2021/07/26,New hosp.,14 days - 28 days,903.9,974.6,502.8,1406.7,372.4,76.2,159.5,82.0,230.7,60.5,12.6,True
"Scenario: 2021/07/26, period: 28-42 days",2021/07/26,New hosp.,28 days - 42 days,2596.9,1767.6,616.7,3213.6,242.7,400.7,371.3,128.2,679.7,49.4,86.2,True
"Scenario: 2021/07/26, period: 42-56 days",2021/07/26,New hosp.,42 days - 56 days,2960.0,1680.2,509.6,3469.6,57.7,795.9,592.5,179.8,1223.2,18.2,291.7,True
"Scenario: 2021/08/05, period: 0-14 days",2021/08/05,New hosp.,0 days - 14 days,486.2,481.6,141.6,627.9,134.9,111.6,77.7,22.9,101.3,21.8,18.0,True
"Scenario: 2021/08/05, period: 14-28 days",2021/08/05,New hosp.,14 days - 28 days,1515.7,997.6,31.4,1531.6,61.3,475.8,189.6,5.7,292.0,10.9,92.0,True
"Scenario: 2021/08/05, period: 28-42 days",2021/08/05,New hosp.,28 days - 42 days,1730.3,1019.1,53.1,1677.2,137.9,928.2,300.2,15.9,494.4,43.9,282.9,True
"Scenario: 2021/08/05, period: 42-56 days",2021/08/05,New hosp.,42 days - 56 days,1192.1,708.9,48.3,1143.9,292.6,1327.6,371.1,25.9,597.8,157.6,713.5,True
"Scenario: 2021/08/05 ICU, period: 0-14 days",2021/08/05 ICU,ICU,0 days - 14 days,1022.5,393.0,134.4,888.1,367.1,367.1,22.4,8.5,51.1,21.5,21.5,True
"Scenario: 2021/08/05 ICU, period: 14-28 days",2021/08/05 ICU,ICU,14 days - 28 days,3695.6,1367.2,237.0,3458.6,659.7,659.7,69.7,12.1,176.3,33.7,33.7,True
"Scenario: 2021/08/05 ICU, period: 28-42 days",2021/08/05 ICU,ICU,28 days - 42 days,6418.8,1837.2,577.1,5841.7,526.0,526.0,101.2,31.9,322.9,28.5,28.5,True
"Scenario: 2021/08/05 ICU, period: 42-56 days",2021/08/05 ICU,ICU,42 days - 56 days,6833.8,1648.2,659.5,6174.3,128.1,128.1,118.3,47.7,444.9,8.9,8.9,True
"Scenario: 2021/10/04, period: 0-14 days",2021/10/04,New hosp.,0 days - 14 days,14.9,67.1,81.6,66.8,5.5,16.9,40.2,49.1,40.1,3.2,10.1,False
"Scenario: 2021/10/04, period: 14-28 days",2021/10/04,New hosp.,14 days - 28 days,37.9,132.9,152.1,114.2,42.9,60.0,64.8,73.9,56.1,20.4,28.8,False
"Scenario: 2021/10/04, period: 28-42 days",2021/10/04,New hosp.,28 days - 42 days,114.3,216.1,291.3,177.0,153.1,170.9,68.6,92.2,56.3,47.9,53.6,False
"Scenario: 2021/10/04, period: 42-56 days",2021/10/04,New hosp.,42 days - 56 days,235.1,398.0,508.6,273.5,357.9,375.7,76.3,97.8,52.5,67.6,71.2,False
"Scenario: 2021/10/04, period: 56-70 days",2021/10/04,New hosp.,56 days - 70 days,492.1,709.6,886.2,394.1,731.7,749.6,79.4,99.2,44.8,81.7,83.7,False
"Scenario: 2022/01/07, period: 0-14 days",2022/01/07,New hosp.,0 days - 14 days,979.0,1272.2,794.1,1773.2,387.6,64.3,65.1,40.8,90.4,19.9,3.2,True
"Scenario: 2022/01/07, period: 14-28 days",2022/01/07,New hosp.,14 days - 28 days,1802.4,1707.9,808.9,2611.2,677.9,192.1,77.3,36.6,118.1,30.7,8.7,True
"Scenario: 2022/01/07 ICU, period: 0-14 days",2022/01/07 ICU,ICU,0 days - 14 days,367.9,360.5,216.2,554.8,117.0,201.0,9.9,5.9,15.2,3.1,5.5,True
"Scenario: 2022/01/07 ICU, period: 14-28 days",2022/01/07 ICU,ICU,14 days - 28 days,2130.0,1725.2,756.6,2886.6,100.1,635.7,49.3,21.6,82.5,2.9,18.2,True
"Scenario: 2022/01/07 ICU, period: 28-42 days",2022/01/07 ICU,ICU,28 days - 42 days,3292.1,2776.4,1184.2,4476.4,494.8,1184.9,89.9,38.4,144.6,16.4,38.8,True
"Scenario: 2022/01/07 ICU, period: 42-56 days",2022/01/07 ICU,ICU,42 days - 56 days,2317.1,2534.6,1243.2,3560.4,1257.4,2047.2,108.0,53.2,150.9,55.1,89.2,True
